STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/14/1990,0,0,0,89,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/15/1990,0,0,0,91,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/16/1990,0,0,0,95,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/17/1990,0,0,0,98,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/18/1990,0.11,0,0,76,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/19/1990,0,0,0,73,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/20/1990,0,0,0,76,55
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/21/1990,0,0,0,85,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/22/1990,0,0,0,93,61
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/23/1990,0,0,0,92,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/24/1990,0,0,0,90,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/25/1990,0,0,0,89,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/26/1990,0,0,0,89,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/27/1990,0,0,0,88,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/28/1990,0,0,0,87,61
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/29/1990,0,0,0,92,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/30/1990,0,0,0,96,61
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,8/31/1990,0,0,0,94,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/1/1990,0,0,0,88,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/2/1990,0,0,0,89,57
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/3/1990,0,0,0,96,82
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/4/1990,0,0,0,95,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/5/1990,0,0,0,89,63
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/6/1990,0,0,0,88,69
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/7/1990,0,0,0,89,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/8/1990,0,0,0,94,59
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/9/1990,0,0,0,88,56
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/10/1990,0,0,0,87,48
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/11/1990,0,0,0,95,60
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/12/1990,0,0,0,96,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/13/1990,0,0,0,96,62
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/14/1990,0,0,0,79,41
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/15/1990,0,0,0,78,41
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/16/1990,0,0,0,76,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/17/1990,0,0,0,71,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/18/1990,0,0,0,70,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/19/1990,0.09,0,0,70,47
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/20/1990,0.1,0,0,65,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/21/1990,0,0,0,68,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/22/1990,0,0,0,65,36
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/23/1990,0,0,0,75,36
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/24/1990,0,0,0,85,36
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/25/1990,0,0,0,89,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/26/1990,0,0,0,89,52
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/27/1990,0,0,0,79,48
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/28/1990,0,0,0,67,46
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/29/1990,0,0,0,57,30
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,9/30/1990,0,0,0,69,37
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/1/1990,0,0,0,74,39
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/2/1990,0,0,0,67,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/3/1990,0,0,0,60,39
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/4/1990,0,0,0,81,41
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/5/1990,0,0,0,88,53
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/6/1990,0,0,0,78,30
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/7/1990,0.25,0,0,45,22
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/8/1990,0,0,0,49,22
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,10/9/1990,0,0,0,57,26
